Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Université;18352;1190;11671;3515;1975;54395;Nancy;Université de Lorraine;2008
Université;24349;1300;13758;6504;2755;14118;Caen;Université de Caen Normandie;2008
École;687;84;449;127;27;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2008
Université;16421;675;8686;4881;1902;35238;Rennes;Université Rennes 2;2008
Grand établissement;98;6;53;12;27;75114;Paris 14e;Observatoire de Paris;2008
Université;27017;1930;14007;5673;4432;91471;Orsay;Université Paris-Saclay;2008
Grand établissement;6561;1000;4114;403;1030;75107;Paris  7e;Sciences Po;2008
École;1264;95;531;313;325;75105;Paris  5e;IAE Paris - Sorbonne Business School;2008
Grand établissement;2522;200;833;283;1206;75106;Paris  6e;École des hautes études en sciences sociales;2008
Université;9903;355;5288;2836;1424;59183;Dunkerque;Université du Littoral Côte d'Opale;2008
Université;18286;753;10860;4471;1509;29019;Brest;Université de Bretagne Occidentale;2009
Université;42243;1856;24277;7987;7941;67482;Strasbourg;Université de Strasbourg;2009
Université;21873;1149;11990;6297;2311;51454;Reims;Université de Reims Champagne-Ardenne;2009
Université;34092;1870;20481;7734;3892;44109;Nantes;Université de Nantes;2009
Université;26897;1273;15195;6912;3119;21231;Dijon;Université de Bourgogne;2009
École;1088;78;779;214;16;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2009
Université;16710;1167;10473;3428;1620;38185;Grenoble;Université Grenoble Alpes;2009
Université;3714;216;2150;886;437;2B096;Corte;Université de Corse Pasquale Paoli;2009
Grand établissement;1261;93;454;247;467;75107;Paris  7e;École pratique des hautes études;2009
Grand établissement;119;10;44;17;48;35238;Rennes;École des hautes études en santé publique;2009
Université;14623;794;7502;4193;1876;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2009
Grand établissement;359;30;180;46;103;75105;Paris  5e;Muséum national d'histoire naturelle;2009
Université;16476;668;8856;4477;2466;38185;Grenoble;Université Grenoble Alpes;2009
Université;17338;706;9016;5433;2008;95127;Cergy;CY Cergy Paris Université;2009
École;433;57;319;51;6;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2009
Université;21257;1236;12875;4954;2186;37261;Tours;Université de Tours;2009
École;3638;501;2252;261;624;54547;Vandœuvre-lès-Nancy;Université de Lorraine;2009
École;637;25;389;145;78;29019;Brest;École nationale d'ingénieurs de Brest;2009
Autre établissement;1584;143;1161;114;166;31555;Toulouse;Sciences Po Toulouse;2009
École;1655;354;988;51;262;91272;Gif-sur-Yvette;CentraleSupélec;2009
École;423;52;316;15;40;35238;Rennes;École nationale supérieure de chimie de Rennes;2009
École;1510;295;893;65;257;69387;Lyon 7e;École normale supérieure de Lyon;2009
Université;23477;1817;11440;4269;3919;75105;Paris  5e;Sorbonne Université;2009
Université;19811;973;10558;5085;3040;13001;Aix-en-Provence;Aix-Marseille Université;2009
Université;9668;238;3873;2532;3024;66136;Perpignan;Université de Perpignan Via Domitia;2009
Université;24253;1314;13845;6430;2655;14118;Caen;Université de Caen Normandie;2009
Grand établissement;101;5;53;11;32;75114;Paris 14e;Observatoire de Paris;2009
École;1131;94;534;239;264;75105;Paris  5e;IAE Paris - Sorbonne Business School;2009
Université;17059;673;10159;4119;1593;29019;Brest;Université de Bretagne Occidentale;2010
Grand établissement;4360;551;2918;267;621;38185;Grenoble;Institut polytechnique de Grenoble;2010
Université;18521;786;10533;4480;2649;31555;Toulouse;Université Toulouse Capitole;2010
Université;26394;2305;13305;4779;5315;75113;Paris 13e;Université de Paris;2010
École;345;40;254;11;40;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2010
Université;23138;1102;12412;4760;4316;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2010
École;779;39;579;101;60;42218;Saint-Étienne;Centrale Lyon;2010
Université;22243;1217;11655;6159;2772;80021;Amiens;Université de Picardie Jules-Verne;2010
Université;10265;322;4610;2191;2640;72181;Le Mans;Le Mans Université;2010
Université;14081;542;7921;3759;1858;45234;Orléans;Université d'Orléans;2010
École;685;44;463;102;76;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2010
Université;9453;579;5463;2150;1261;33522;Talence;Université de Bordeaux;2010
Université;26118;1273;14992;6458;2998;21231;Dijon;Université de Bourgogne;2010
Université;15345;1093;9768;2936;1529;38185;Grenoble;Université Grenoble Alpes;2010
Université;3820;196;2327;871;407;2B096;Corte;Université de Corse Pasquale Paoli;2010
Université;10186;378;5335;3125;1200;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2010
École;408;30;264;50;50;59512;Roubaix;École nationale supérieure des arts et industries textiles;2010
École;1673;154;1097;100;322;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2010
École;279;29;218;12;20;63014;Aubière;Clermont Auvergne INP;2010
Université;21855;1281;13423;4805;2341;37261;Tours;Université de Tours;2010
École;1027;33;570;181;243;57463;Metz;Université de Lorraine;2010
Grand établissement;5286;519;3575;585;607;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2010
Université;21086;1564;10033;3582;3714;75105;Paris  5e;Sorbonne Université;2010
Université;14021;596;7439;3337;2176;63113;Clermont-Ferrand;Université Clermont Auvergne;2010
Université;9842;261;4005;2593;2983;66136;Perpignan;Université de Perpignan Via Domitia;2010
Université;15494;633;8549;3914;2321;42218;Saint-Étienne;Université Jean Monnet;2010
Université;17836;722;9573;5115;2239;35238;Rennes;Université Rennes 2;2010
Université;27307;2013;14744;5305;4298;91471;Orsay;Université Paris-Saclay;2010
Université;14671;764;8598;3508;1801;34172;Montpellier;Université de Montpellier;2010
École;701;107;443;16;135;13213;Marseille 13e;Centrale Marseille;2011
Université;15491;832;8625;2927;2930;63113;Clermont-Ferrand;Université Clermont Auvergne;2011
Université;8487;253;4802;2460;818;56121;Lorient;Université Bretagne Sud;2011
Université;25821;1612;13912;5799;4491;6088;Nice;Université Côte d'Azur;2011
Université;10691;446;5717;3367;954;77083;Champs-sur-Marne;Université Gustave Eiffel;2011
Université;23503;1672;13707;4827;3149;34172;Montpellier;Université de Montpellier;2011
Université;10258;380;4673;2232;2486;72181;Le Mans;Le Mans Université;2011
Université;26273;1250;13435;6966;4313;69387;Lyon 7e;Université Lumière - Lyon 2;2011
École;422;68;278;22;54;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2011
Autre établissement;2980;96;1753;905;224;81004;Albi;Institut national universitaire Jean-François Champollion;2011
École;680;47;476;97;60;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2011
Université;15172;1107;9683;2896;1470;38185;Grenoble;Université Grenoble Alpes;2011
Université;11437;496;6261;2910;1412;64445;Pau;Université de Pau et des Pays de l'Adour;2011
Université;3732;173;2347;858;341;2B096;Corte;Université de Corse Pasquale Paoli;2011
Université;7754;248;4281;1943;1271;68224;Mulhouse;Université de Haute-Alsace;2011
École;2697;104;1518;473;602;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2011
Grand établissement;149;16;63;14;56;35238;Rennes;École des hautes études en santé publique;2011
École;272;32;205;11;24;63014;Aubière;Clermont Auvergne INP;2011
Université;7528;277;4093;2031;1124;17300;La Rochelle;La Rochelle Université;2011
École;1390;297;817;21;255;69081;Écully;Centrale Lyon;2011
École;649;52;524;51;22;63014;Aubière;Clermont Auvergne INP;2011
Autre établissement;1590;173;1067;101;249;69387;Lyon 7e;Sciences Po Lyon;2011
Université;19478;751;10374;5618;2480;35238;Rennes;Université Rennes 2;2011
Grand établissement;135;30;85;6;14;75105;Paris  5e;École nationale des Chartes;2011
Université;8385;304;4801;2386;893;56121;Lorient;Université Bretagne Sud;2012
École;367;35;284;5;43;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2012
Université;19627;936;11549;4635;2436;25056;Besançon;Université de Franche-Comté;2012
Université;33769;1845;20613;7045;3982;44109;Nantes;Université de Nantes;2012
École;1275;336;729;37;173;75105;Paris  5e;École normale supérieure PSL;2012
Université;3378;85;1680;1355;166;30189;Nîmes;Université de Nîmes;2012
Autre établissement;3393;76;1898;1025;316;81004;Albi;Institut national universitaire Jean-François Champollion;2012
Autre établissement;1159;141;825;72;121;35238;Rennes;Sciences Po Rennes;2012
Université;15392;1153;9922;2990;1323;38185;Grenoble;Université Grenoble Alpes;2012
Université;9462;256;4192;3631;1191;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2012
Grand établissement;324;35;166;41;82;75105;Paris  5e;Muséum national d'histoire naturelle;2012
Université;5493;364;3056;1262;805;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2012
Université;12204;519;7211;3983;489;97411;Saint-Denis;Université de La Réunion;2012
École;877;64;572;114;127;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2012
Autre établissement;1544;151;1137;111;143;31555;Toulouse;Sciences Po Toulouse;2012
École;2720;277;1797;153;493;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2012
École;1513;328;901;22;262;69081;Écully;Centrale Lyon;2012
Université;31928;1401;15254;9483;4556;92050;Nanterre;Université Paris Nanterre;2012
École;1971;270;1109;91;501;44109;Nantes;Centrale Nantes;2012
École;144;4;117;20;3;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2012
École;1790;336;1126;81;247;69387;Lyon 7e;École normale supérieure de Lyon;2012
Université;19775;931;9725;3987;3627;59009;Villeneuve-d'Ascq;Université de Lille;2012
École;1746;164;1185;77;320;35238;Rennes;Institut national des sciences appliquées de Rennes;2013
Université;14859;836;9019;2654;2090;63113;Clermont-Ferrand;Université Clermont Auvergne;2013
Grand établissement;233;35;172;16;10;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2013
Université;35612;1948;22291;7113;3947;44109;Nantes;Université de Nantes;2013
École;5836;669;3422;249;1496;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2013
Autre établissement;1808;188;1203;174;242;13001;Aix-en-Provence;Sciences Po Aix;2013
École;4053;392;2692;294;674;60159;Compiègne;Université de technologie de Compiègne;2013
Autre établissement;3575;94;2013;1029;389;81004;Albi;Institut national universitaire Jean-François Champollion;2013
École;707;50;478;97;82;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2013
Grand établissement;259;16;110;52;81;35238;Rennes;École des hautes études en santé publique;2013
École;402;27;263;28;47;59512;Roubaix;École nationale supérieure des arts et industries textiles;2013
Université;22299;901;8109;6589;6699;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2013
École;2755;302;1787;155;511;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2013
École;633;55;499;42;37;63014;Aubière;Clermont Auvergne INP;2013
Autre établissement;1492;172;1040;82;197;69387;Lyon 7e;Sciences Po Lyon;2013
Université;26264;2357;18012;4027;1847;59350;Lille;Université de Lille;2013
Université;15544;658;8542;3610;2255;63113;Clermont-Ferrand;Université Clermont Auvergne;2013
Université;24215;1440;14888;5936;1945;14118;Caen;Université de Caen Normandie;2013
Grand établissement;52359;2550;31278;11198;7166;54395;Nancy;Université de Lorraine;2013
École;826;75;527;152;72;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2013
Université;58950;3491;33679;14171;7387;13207;Marseille  7e;Aix-Marseille Université;2013
Grand établissement;2712;207;1010;272;1223;75113;Paris 13e;École des hautes études en sciences sociales;2013
Université;3415;158;1667;1336;254;98738;Punaauia;Université de la Polynésie Française;2013
École;919;152;539;26;202;13213;Marseille 13e;Centrale Marseille;2014
Grand établissement;225;13;159;29;24;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2014
Université;8129;327;5069;2097;634;56121;Lorient;Université Bretagne Sud;2014
Université;25828;1338;14285;5113;4598;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2014
Université;20728;976;12897;4414;2327;25056;Besançon;Université de Franche-Comté;2014
École;895;55;678;127;35;42218;Saint-Étienne;Centrale Lyon;2014
Université;39082;2481;23897;7751;4828;34172;Montpellier;Université de Montpellier;2014
Autre établissement;1837;178;1213;182;264;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2014
École;1629;429;846;51;303;75105;Paris  5e;École normale supérieure PSL;2014
École;2613;167;1503;290;653;10387;Troyes;Université de technologie de Troyes;2014
Université;46891;3237;30256;8530;4530;33063;Bordeaux;Université de Bordeaux;2014
Université;9719;442;5137;1995;1603;72181;Le Mans;Le Mans Université;2014
École;3974;415;2611;261;687;60159;Compiègne;Université de technologie de Compiègne;2014
École;727;58;483;98;88;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2014
École;1058;49;787;119;103;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2014
Université;14888;708;8689;3471;1695;33318;Pessac;Université Bordeaux Montaigne;2014
Université;3993;199;2615;832;347;2B096;Corte;Université de Corse Pasquale Paoli;2014
Université;7692;220;4267;1670;1531;68224;Mulhouse;Université de Haute-Alsace;2014
École;423;79;300;15;29;91477;Palaiseau;Institut d'optique Graduate School;2014
Université;9205;266;4485;3084;1209;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2014
Grand établissement;361;34;176;53;98;75105;Paris  5e;Muséum national d'histoire naturelle;2014
Université;13109;566;8388;3624;531;97411;Saint-Denis;Université de La Réunion;2014
École;2871;319;1826;157;569;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2014
Université;38173;3580;24706;6412;3475;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2014
Université;31459;1328;15936;8417;4493;92050;Nanterre;Université Paris Nanterre;2014
École;2130;301;1101;78;650;44109;Nantes;Centrale Nantes;2014
École;328;70;235;18;5;35047;Bruz;École normale supérieure de Rennes;2014
Grand établissement;5703;630;3828;516;729;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2014
Université;29485;1891;19626;5527;2439;31555;Toulouse;Université Toulouse III - Paul Sabatier;2014
Université;25546;1546;16019;5867;2111;14118;Caen;Université de Caen Normandie;2014
Grand établissement;9062;1234;5502;563;1687;75107;Paris  7e;Sciences Po;2014
École;1224;72;562;299;291;75105;Paris  5e;IAE Paris - Sorbonne Business School;2014
Université;14690;785;9538;2453;1700;63113;Clermont-Ferrand;Université Clermont Auvergne;2015
Université;47935;2274;28534;7514;8970;67482;Strasbourg;Université de Strasbourg;2015
Université;29672;1722;16796;6008;5012;6088;Nice;Université Côte d'Azur;2015
Université;49292;3336;31826;8260;4843;33063;Bordeaux;Université de Bordeaux;2015
Université;9188;315;4884;2173;1394;83062;La Garde;Université de Toulon;2015
Université;27809;1348;14649;6843;4518;69387;Lyon 7e;Université Lumière - Lyon 2;2015
Autre établissement;3939;100;2404;882;458;81004;Albi;Institut national universitaire Jean-François Champollion;2015
Université;21875;1236;13995;3682;2677;49007;Angers;Université d'Angers;2015
